Timestamp                       (process)[PID]    
2025-08-26 10:34:21.489666+0530  localhost neagent[51233]: (NetworkExtension) [com.apple.networkextension:] Failed to find com.apple.UsageTrackingAgent in LaunchServices
2025-08-26 10:34:32.693271+0530  localhost neagent[51233]: (NetworkExtension) [com.apple.networkextension:] Failed to find com.apple.findmy.findmylocateagent in LaunchServices
2025-08-26 10:35:34.697755+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (3896)
2025-08-26 10:35:34.733083+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4128)
2025-08-26 10:35:34.766104+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4088)
2025-08-26 10:35:34.776063+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4052)
2025-08-26 10:35:34.783519+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4256)
2025-08-26 10:35:34.944615+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4052)
2025-08-26 10:35:34.944802+0530  localhost pkd[21877]: (LaunchServices) [com.apple.launchservices:default] Failed to create LSPlugInKitProxy object (after sorting) for <private> (4256)
2025-08-26 10:35:34.972427+0530  localhost nesessionmanager[21893]: (libxpc.dylib) [com.apple.xpc:connection] [0x88038f200] activating connection: mach=false listener=false peer=true name=com.apple.nesessionmanager.peer[50879].0x88038f200
2025-08-26 10:35:34.972499+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Got a new session client connection from scutil(50879)
2025-08-26 10:35:34.973100+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]: Adding a connection for client <unknown-name>[50879]
2025-08-26 10:35:34.973230+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]: Received a start command from <unknown-name>[50879]
2025-08-26 10:35:34.973246+0530  localhost nesessionmanager[21893]: (libxpc.dylib) [com.apple.xpc:connection] [0x88038f200] invalidated because the client process (pid 50879) either cancelled the connection or exited
2025-08-26 10:35:34.973265+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Registering session NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]
2025-08-26 10:35:34.973665+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] <NESMServer: 0x10090bd10>: Register Enterprise VPN Session: NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]
2025-08-26 10:35:34.973687+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]: Successfully registered
2025-08-26 10:35:34.973752+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] -[NESMVPNSession unsetDefaultDropAll]: VPN setting IP Drop-All to 0 (Non-Persistent)
2025-08-26 10:35:34.977339+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] applyIPDefaultDrop: IP Drop-All disabled
2025-08-26 10:35:34.977359+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] applyIPDefaultDrop: IP Drop-All disabled due to disableDefaultDropAfterBoot
2025-08-26 10:35:34.977359+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] applyIPDefaultDrop: Persistent IP Drop-All level <0>
2025-08-26 10:35:34.977388+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] applyIPDefaultDrop: IP Drop-All disabled
