Timestamp                       (process)[PID]    
2025-08-26 10:29:56.700584+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:appinstallation] could not make proxies from uuids in optimized path! Error Domain=NSOSStatusErrorDomain Code=-10814 "Unable to find this application extension record in the Launch Services database." UserInfo={_LSFunction=<private>, _LSLine=691, NSDebugDescription=Unable to find this application extension record in the Launch Services database., SK=<private>, IS=0}
2025-08-26 10:29:56.700593+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:appinstallation] Using expensive fallback path for obtaining plugin proxies from install notifications. This process should be entitled to use the LS database.
2025-08-26 10:29:56.700617+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:default] Failed to find plugin with UUID <private>
2025-08-26 10:29:56.764320+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:appinstallation] could not make proxies from uuids in optimized path! Error Domain=NSOSStatusErrorDomain Code=-10814 "Unable to find this application extension record in the Launch Services database." UserInfo={_LSFunction=<private>, _LSLine=691, NSDebugDescription=Unable to find this application extension record in the Launch Services database., SK=<private>, IS=0}
2025-08-26 10:29:56.764323+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:appinstallation] Using expensive fallback path for obtaining plugin proxies from install notifications. This process should be entitled to use the LS database.
2025-08-26 10:29:56.764338+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:default] Failed to find plugin with UUID <private>
2025-08-26 10:29:57.329690+0530  localhost nehelper[51166]: [com.apple.networkextension:] App for configuration Teach Gate VPN (com.teachgatedesk.develentcorp) changed
2025-08-26 10:29:57.330420+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:default] _LSBundleCopyOrCheckNode: cached node not found, _LSBundleCreateNode for bundleID 23576 returned -43
2025-08-26 10:29:57.330549+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:default] _LSBundleCopyOrCheckNode: cached node not found, _LSBundleCreateNode for bundleID 25540 returned -43
2025-08-26 10:29:57.330703+0530  localhost neagent[51233]: (LaunchServices) [com.apple.launchservices:default] _LSBundleCopyOrCheckNode: cached node not found, _LSBundleCreateNode for bundleID 26396 returned -43
2025-08-26 10:29:57.331876+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:macm1_wg0:F319E8AE-77CE-4263-929B-694E6693349A:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.333728+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x11ef4fb, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.337296+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x11ef4fc, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.337716+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x11ef4fd, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.338237+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x11ef4fe, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.338563+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:usa:2A440D4B-3AB0-4EB5-B397-8BBF0495CB5F:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.341026+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.341222+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:Teach Gate VPN:96F9FEAA-50A9-4C18-A68C-EBE3826C075B:(null)]: Resetting VPN On Demand
2025-08-26 10:29:57.341227+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:usa:2A440D4B-3AB0-4EB5-B397-8BBF0495CB5F:(null)]: Resetting VPN On Demand
2025-08-26 10:29:57.341340+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Found 0 registrations for com.wireguard.macos.network-extension (com.apple.networkextension.packet-tunnel)
2025-08-26 10:29:57.341400+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMPathControllerSession[com.apple.preferences.networkprivacy-9BD1F8BD-75B9-4747-9CCB-7E2913BBD236:4236304E-20B3-422E-BA4D-477BBFE098D8]: Handling installed apps change, restarting
2025-08-26 10:29:57.341461+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMPathControllerSession[com.apple.preferences.networkprivacy-9BD1F8BD-75B9-4747-9CCB-7E2913BBD236:4236304E-20B3-422E-BA4D-477BBFE098D8]: Received a restart command from nesessionmanager[21893]
2025-08-26 10:29:57.341487+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMPathControllerSession[com.apple.preferences.networkprivacy-9BD1F8BD-75B9-4747-9CCB-7E2913BBD236:4236304E-20B3-422E-BA4D-477BBFE098D8]: Stop current session as requested by an overriding restart command from nesessionmanager[21893]
2025-08-26 10:29:57.341489+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMPathControllerSession[com.apple.preferences.networkprivacy-9BD1F8BD-75B9-4747-9CCB-7E2913BBD236:4236304E-20B3-422E-BA4D-477BBFE098D8]: Resetting policies
2025-08-26 10:29:57.343372+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x11ef4ff, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.344095+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMPathControllerSession[com.apple.preferences.networkprivacy-10FDFA5F-01EF-4723-82CA-566F13A46F3B:A5B22DBB-1EF5-4433-8966-278703C709D7]: Handling installed apps change, restarting
2025-08-26 10:29:57.344162+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:newyork:90667F55-1C0A-4C1D-A51D-C5D84D9BF106:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.344433+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMIKEv2VPNSession[Primary Tunnel:VPN:9EB468CA-02BF-4C8C-9A15-4BEDAACDAEDA:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.344601+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMIKEv2VPNSession[Primary Tunnel:VPN:9EB468CA-02BF-4C8C-9A15-4BEDAACDAEDA:(null)]: Resetting VPN On Demand
2025-08-26 10:29:57.344611+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMIKEv2VPNSession[Primary Tunnel:VPN:9EB468CA-02BF-4C8C-9A15-4BEDAACDAEDA:(null)]: Plugin is installed
2025-08-26 10:29:57.344620+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:newyork:90667F55-1C0A-4C1D-A51D-C5D84D9BF106:(null)]: Resetting VPN On Demand
2025-08-26 10:29:57.344670+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Found 0 registrations for com.teachgatedesk.develentcorp.TeachGateVPN (com.apple.networkextension.packet-tunnel)
2025-08-26 10:29:57.345121+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x120f2a0, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.348053+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:london:3BC4967F-8787-4209-8F45-07BBF47125A3:(null)]: Re-setting policies because the installed apps changed
2025-08-26 10:29:57.348180+0530  localhost neagent[51233]: (CoreServicesInternal) Created Activity ID: 0x120f2a1, Description: CFURLResolveBookmarkData
2025-08-26 10:29:57.348919+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Handling installed apps change
2025-08-26 10:29:57.348931+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Check Filter Plugin installation for com.apple.ALF.ApplicationFirewall (isIP 1)
2025-08-26 10:29:57.348935+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Configuration is not enabled
2025-08-26 10:29:57.348941+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Check Filter Plugin installation for com.apple.ALF.ApplicationFirewall (isIP 1)
2025-08-26 10:29:57.348943+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Configuration is not enabled
2025-08-26 10:29:57.348945+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Filter removing perApp Drop policies
2025-08-26 10:29:57.348961+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Filter setting IP Drop-All to 0 (Persistent)
2025-08-26 10:29:57.348970+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Check Filter Plugin installation for com.apple.ALF.ApplicationFirewall (isIP 0)
2025-08-26 10:29:57.348972+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMFilterSession[com.apple.preferences.application-firewall:5E0FA866-BF36-4237-8443-A43CABBA71D7]: Configuration is not enabled
2025-08-26 10:29:57.348973+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] Filter setting Layer-2 Drop-All to 0
2025-08-26 10:29:57.349022+0530  localhost nesessionmanager[21893]: [com.apple.networkextension:] NESMVPNSession[Primary Tunnel:t1:B1066681-D804-4511-A8E4-9BC1FA03B021:(null)]: Re-setting policies because the installed apps changed
